Sample,pH,Salinity_dS_m
DVS-2406106,6.8,0.29
DVS-2406109,6.6,0.21
DVS-2406112,6.7,0.19
DVS-2406115,6,0.26
DVS-2406118,6.4,0.3
DVS-2406119,6.2,0.2
DVS-2406121,6.2,0.44
DVS-2406123,6.5,0.34
DVS-2406125,6.1,0.37
DVS-2406127,6.4,0.41
DVS-2406130,5.8,0.35
DVS-2406133,6.6,0.67
DVS-2406136,6.7,0.62
DVS-2406138,5.8,0.4
DVS-2406141,6.4,0.41
DVS-2406143,6.6,0.64
DVS-2406147,6.7,0.67
DVS-2406150,5.8,0.29
DVS-2406153,6.2,0.48
DVS-2406156,6,0.48
DVS-2406159,5.8,0.55
DVS-2406161,6.1,0.16
DVS-2406165,5.5,0.37
DVS-2406168,6.2,0.36
DVS-2407002,6.3,0.35
DVS-2407003,5.6,0.4
DVS-2407007,5.7,0.45
DVS-2407009,6,0.51
DVS-2407012,5,0.31
DVS-2407015,6,0.27
DVS-2407018,5.7,0.35
DVS-2407021,6,0.42
DVS-2407024,5.8,0.32
DVS-2407027,5.5,0.44
DVS-2407030,6.1,0.56
DVS-2407033,5.6,0.2
DVS-2407036,6,0.23
DVS-2407039,6.5,0.17
DVS-2407042,6.5,0.13
DVS-2407045,6.8,0.17
DVS-2407048,6,0.2
DVS-2407051,6.5,0.47
DVS-2407054,7.9,1.31
DVS-2407057,8,2.06
DVS-2407059,7.9,1.09
DVS-2407062,5.2,0.17
DVS-2407065,6.1,0.34
DVS-2407068,6.2,0.34
DVS-2407089,4.1,0.25
DVS-2407087,6.4,0.2
DVS-2407085,5.6,0.35
DVS-2407098,5.7,0.2
DVS-2407099,5.8,0.27
DVS-2407084,5.7,0.26
DVS-2407094,5.7,0.35
DVS-2407075,5.4,0.28
DVS-2407074,5.8,0.21
DVS-2407077,6.2,0.31
DVS-2407080,4.4,0.16
DVS-2407102,4.3,0.35
DVS-2407106,4.8,1.8
DVS-2407108,6,0.41
AB 003,7.4,0.45
DVS 2311034,6.8,1.13
DVS 2311055,6.6,0.49
DVS 2311068,6.8,0.91
DVS 2311077,7.7,1.03
BRK 2403 013,6.2,0.58
BRK 2403 020,7.5,1.09
DVS 2311083,7.8,0.96
DVS 2311086,7.6,0.38
DVS 2311088,7.7,0.48
DVS 2311091,8,0.55
DVS 2311094,8,0.58
DVS 2311096,7.6,2.67
DVS 2311099,7.7,0.76
DVS 2311100,7.8,18.7
DVS 2311104,7.9,0.8
DVS 2311106,7.8,0.59
DVS 2311109,5.7,0.45
DVS 2311112,7.5,2.76
DVS 2311115,6.8,1.05
DVS 2311118,7.9,0.7
DVS 2311121,7.2,0.98
DVS 2311142,7.6,3.42
LA 005,8.2,0.18
LA 008,7.8,0.25
LA 011,8,0.26
LA 014,7.8,0.17
20230524 132157 CDK,7,1.15
20230525 135110 JEW,6.8,0.54
DVS 004,5.5,0.26
ARC 001,4.6,1.82
ARC 004,4.9,1.64
KMR EHA 6/21/2023 Arnold,7.3,19.5
DVS 005,7.1,0.42
BRK 003,7,0.38
SAN A255,6.9,0.56
SAN A256,7.2,0.74
SAN A257,6.5,0.35
SAN A258,6.7,0.39
ARC 007,3.6,7.33
AB 005,6.4,0.51
DVS 2311010,6,0.4
DVS 2311014,4.9,0.38
DVS 2311041,6.4,0.65
DVS 2311044,7.5,1.32
DVS 2311050,6,1.42
